2023-06-16 08:47:49,343 INFO    wandb-upload_2:32784 [upload_job.py:push():137] Uploaded file C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\requirements.txt
2023-06-16 08:47:49,547 INFO    Thread-197 (_thread_body):32784 [sender.py:transition_state():626] send defer: 11
2023-06-16 08:47:49,547 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:49,547 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 11
2023-06-16 08:47:49,547 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:49,547 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 11
2023-06-16 08:47:49,547 INFO    SenderThread:32784 [file_pusher.py:join():172] waiting for file pusher
2023-06-16 08:47:49,547 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 12
2023-06-16 08:47:49,547 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:49,547 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 12
2023-06-16 08:47:49,547 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:49,547 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 12
2023-06-16 08:47:49,828 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 13
2023-06-16 08:47:49,828 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:49,828 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 13
2023-06-16 08:47:49,828 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:49,828 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 13
2023-06-16 08:47:49,828 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 14
2023-06-16 08:47:49,828 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:49,828 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 14
2023-06-16 08:47:49,828 DEBUG   SenderThread:32784 [sender.py:send():375] send: final
2023-06-16 08:47:49,828 DEBUG   SenderThread:32784 [sender.py:send():375] send: footer
2023-06-16 08:47:49,828 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:49,828 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 14
2023-06-16 08:47:49,843 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: poll_exit
2023-06-16 08:47:49,843 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: server_info
2023-06-16 08:47:49,843 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: get_summary
2023-06-16 08:47:49,843 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: sampled_history
2023-06-16 08:47:49,843 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: poll_exit
2023-06-16 08:47:49,843 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: server_info
2023-06-16 08:47:50,015 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: shutdown
2023-06-16 08:47:50,015 INFO    HandlerThread:32784 [handler.py:finish():842] shutting down handler
2023-06-16 08:47:50,859 INFO    WriterThread:32784 [datastore.py:close():298] close: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\run-1g55ubon.wandb
2023-06-16 08:47:51,031 INFO    SenderThread:32784 [sender.py:finish():1550] shutting down sender
2023-06-16 08:47:51,031 INFO    SenderThread:32784 [file_pusher.py:finish():167] shutting down file pusher
2023-06-16 08:47:51,031 INFO    SenderThread:32784 [file_pusher.py:join():172] waiting for file pusher
